"id","measurement","time"
"-M_SK_aoemvXEzs7iqnq","75","Tue, 11 May 2021 21:30:10 GMT"
"-M_SKc1ZW-QAO2_Yun6u","75.125","Tue, 11 May 2021 21:30:20 GMT"
"-M_SKekas7K-D9QtY59U","74.8125","Tue, 11 May 2021 21:30:30 GMT"
"-M_SKhBasJ0rJfqn8EpF","74.5","Tue, 11 May 2021 21:30:41 GMT"
"-M_SKjMdI4usfjNNMMhX","74.5","Tue, 11 May 2021 21:30:50 GMT"
"-M_SKnBHJJGLoy04i7J7","73.6875","Tue, 11 May 2021 21:31:06 GMT"
"-M_SKoRZguhsYFcPIJml","73.3125","Tue, 11 May 2021 21:31:10 GMT"
"-M_SKqgM-TxxfQ64XYQT","72.875","Tue, 11 May 2021 21:31:20 GMT"
"-M_SKtrIZMY8AF90vgzk","72.5625","Tue, 11 May 2021 21:31:32 GMT"
"-M_SKvrUNvHOzzIba4vy","72.25","Tue, 11 May 2021 21:31:41 GMT"
"-M_SKy-bI61zBxiQOHCr","71.875","Tue, 11 May 2021 21:31:50 GMT"
"-M_SL-jIKRwXHCeTWWtX","71.5","Tue, 11 May 2021 21:32:01 GMT"
"-M_SL1t5_Pxy2KJztGlk","71.25","Tue, 11 May 2021 21:32:10 GMT"
"-M_SL4KbVkVJNNqFoWzz","70.9375","Tue, 11 May 2021 21:32:20 GMT"
"-M_SL72fsjA8mYveBTzi","70.625","Tue, 11 May 2021 21:32:31 GMT"
"-M_SL9DpWMKlaQ92OCFj","70.1875","Tue, 11 May 2021 21:32:40 GMT"
"-M_SLBeM_IO7163Efyc9","69.875","Tue, 11 May 2021 21:32:50 GMT"
"-M_SLE5KAyG1xK5h4II1","69.5","Tue, 11 May 2021 21:33:00 GMT"
"-M_SLGY4X67GtR4YH5WI","69.1875","Tue, 11 May 2021 21:33:10 GMT"
"-M_SLJ-hlCF2EcpDjA6R","68.75","Tue, 11 May 2021 21:33:20 GMT"
"-M_SLLQPfnS74ePUv-OB","68.5","Tue, 11 May 2021 21:33:30 GMT"
"-M_SLO6gQszLqvl8PtWF","68.1875","Tue, 11 May 2021 21:33:41 GMT"
"-M_SLQKAMFldATRZ6I22","67.8125","Tue, 11 May 2021 21:33:50 GMT"
"-M_SLSjo64lAu5oecpQI","67.8125","Tue, 11 May 2021 21:34:00 GMT"
"-M_SLVBDreDu0Jxuk-Mb","67.1875","Tue, 11 May 2021 21:34:10 GMT"
"-M_SLXcah5HUBvvGBuW6","66.875","Tue, 11 May 2021 21:34:20 GMT"
"-M_SLaETwVlLQvXKu-Iw","66.5","Tue, 11 May 2021 21:34:35 GMT"
"-M_SLgPyfo0P1R_OR2hW","66.125","Tue, 11 May 2021 21:35:00 GMT"
"-M_SLgTsSY_YCzWGYOZt","65.8125","Tue, 11 May 2021 21:35:10 GMT"
"-M_SLiv-ZYmSyvfXg6UQ","65.8125","Tue, 11 May 2021 21:35:20 GMT"
"-M_SLlLqX_lNPPKAxOwD","64.8125","Tue, 11 May 2021 21:35:30 GMT"
"-M_SLnn5kXluMNeMgg_6","64.5","Tue, 11 May 2021 21:35:40 GMT"
"-M_SLqEHvdjsq__f_hip","64.25","Tue, 11 May 2021 21:35:50 GMT"
"-M_SLsfc2clOrGPvqnhd","64","Tue, 11 May 2021 21:36:00 GMT"
"-M_SLv7C6LRWc404Sr8b","63.75","Tue, 11 May 2021 21:36:10 GMT"
"-M_SLxZRoZsXWRMlPR4B","63.5","Tue, 11 May 2021 21:36:20 GMT"
"-M_SM-1KuTSvHboJbaIw","63.1875","Tue, 11 May 2021 21:36:30 GMT"
"-M_SM1S-6sFHTw8IYbuL","62.9375","Tue, 11 May 2021 21:36:40 GMT"
"-M_SM3t6Aum2MBr6dGej","62.625","Tue, 11 May 2021 21:36:50 GMT"
"-M_SM6L4HC_rt8PZQuST","62.375","Tue, 11 May 2021 21:37:00 GMT"
"-M_SM8lP-DEsHGXsrD-1","62.125","Tue, 11 May 2021 21:37:10 GMT"
"-M_SMBCedzuHGeuwq8XO","61.875","Tue, 11 May 2021 21:37:20 GMT"
"-M_SMDdwdiwP975HQA_y","61.625","Tue, 11 May 2021 21:37:30 GMT"
"-M_SMG53uM8uId9YT-R4","61.375","Tue, 11 May 2021 21:37:40 GMT"
"-M_SMIXSn4LmoRHC4wYr","61.125","Tue, 11 May 2021 21:37:51 GMT"
"-M_SMLCkJ2LZ6xuXnqaX","60.875","Tue, 11 May 2021 21:38:00 GMT"
"-M_SMNRJT03XQloR0_IM","60.625","Tue, 11 May 2021 21:38:10 GMT"
"-M_SMPrmXmCRa2B3yFW8","60.625","Tue, 11 May 2021 21:38:20 GMT"
"-M_SMSIszO2Ksyce0wEv","60.125","Tue, 11 May 2021 21:38:30 GMT"
"-M_SMUjeiejBUF1n_zrm","59.875","Tue, 11 May 2021 21:38:40 GMT"
"-M_SMXBpEwXdILuF-5K0","59.6875","Tue, 11 May 2021 21:38:51 GMT"
"-M_SMZntnwpU4KR6JkxG","59.4375","Tue, 11 May 2021 21:39:02 GMT"
"-M_SMbQQ6PSViWsAAw1y","59.25","Tue, 11 May 2021 21:39:10 GMT"
"-M_SMdW9zkWE2KLlEkVL","59","Tue, 11 May 2021 21:39:20 GMT"
"-M_SMfy0N_TwZiMvFYDk","58.75","Tue, 11 May 2021 21:39:30 GMT"
"-M_SMiOnZQoGEabmcPtD","58.4375","Tue, 11 May 2021 21:39:40 GMT"
"-M_SMkpo_ziafj2mBUm5","58.25","Tue, 11 May 2021 21:39:50 GMT"
"-M_SMnH5g7Sv6OAbo6Rl","58.0625","Tue, 11 May 2021 21:40:00 GMT"
"-M_SMpiW8g9TaphLvaPZ","57.8125","Tue, 11 May 2021 21:40:10 GMT"
"-M_SMs9kVhx2uPKdwhTC","57.5625","Tue, 11 May 2021 21:40:20 GMT"
"-M_SMuavN_QXwa5M-ye7","57.375","Tue, 11 May 2021 21:40:30 GMT"
"-M_SMx20Q0jW3vJ7APON","57.25","Tue, 11 May 2021 21:40:40 GMT"
"-M_SMzUNeyixNe71YToW","57","Tue, 11 May 2021 21:40:50 GMT"
